t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
0.00050,0.0000,0.00000,0.000000,0.018361,0.000000
0.00100,0.0000,0.00007,0.000000,0.013817,0.000000
0.00150,-0.0000,0.00015,0.000000,0.010397,0.000000
0.00200,-0.0000,0.00022,0.000000,0.007824,0.000000
0.00250,-0.0000,0.00030,0.000000,0.005889,0.000000
0.00300,-0.0000,0.00038,0.000000,0.004432,0.000000
0.00350,-0.0000,0.00045,0.000000,0.003337,0.000000
0.00400,-0.0000,0.00052,0.000000,0.002513,0.000000
0.00450,-0.0000,0.00060,0.000000,0.001892,0.000000
0.00500,-0.0000,0.00068,0.000000,0.001426,0.000000
0.00550,-0.0000,0.00075,0.000000,0.001075,0.000000
0.00600,-0.0000,0.00083,0.000000,0.000810,0.000000
0.00650,-0.0000,0.00090,0.000000,0.000612,0.000000
0.00700,-0.0000,0.00098,0.000000,0.000462,0.000000
0.00750,-0.0000,0.00105,0.000000,0.000350,0.031592
0.00800,0.0000,0.00113,0.000000,0.000265,0.023779
0.00850,0.0000,0.00120,0.000000,0.000201,0.017877
0.00900,-0.0000,0.00128,0.000000,0.000153,0.013432
0.00950,-0.0000,0.00135,0.000000,0.000117,0.010086
0.01000,-0.0000,0.00143,0.000000,0.000090,0.007585
0.01050,-0.0000,0.00150,0.000000,0.000070,0.005715
0.01100,-0.0000,0.00158,0.000000,0.000054,0.004308
0.01150,-0.0000,0.00165,0.000000,0.000043,0.003249
0.01200,-0.0000,0.00173,0.000000,0.000034,0.002454
0.01250,-0.0000,0.00180,0.000000,0.000027,0.001854
0.01300,-0.0000,0.00188,0.000000,0.000022,0.001407
0.01350,-0.0000,0.00195,0.000000,0.000019,0.001065
0.01400,-0.0000,0.00203,0.000000,0.000016,0.000810
0.01450,-0.0000,0.00210,0.000000,0.000014,0.000619
0.01500,-0.0000,0.00218,0.000000,0.000012,0.000475
0.01550,-0.0000,0.00225,0.000000,0.000011,0.000369
0.01600,-0.0000,0.00233,0.000000,0.000010,0.000285
0.01650,-0.0000,0.00240,0.000000,0.000009,0.000227
0.01700,-0.0000,0.00248,0.000000,0.000009,0.000178
0.01750,-0.0000,0.00255,0.000000,0.000009,0.000146
0.01800,-0.0000,0.00263,0.000000,0.000008,0.000118
0.01850,-0.0000,0.00270,0.000000,0.000008,0.000102
0.01900,-0.0000,0.00278,0.000000,0.000008,0.000089
